local_id_attribute	symbol	geneid
717_201189_s_at	ITPR3	3710
718_201190_s_at	PITPNA	5306
719_201191_at	PITPNA	5306
720_201192_s_at	PITPNA	5306
721_201193_at	IDH1	3417
722_201194_at	SEPW1	6415
723_201195_s_at	SLC7A5	8140
724_201196_s_at	AMD1	262
725_201197_at	AMD1	262
726_201198_s_at	PSMD1	5707
727_201199_s_at	PSMD1	5707
728_201200_at	CREG1	8804
729_201201_at	CSTB	1476
730_201202_at	PCNA	5111
731_201203_s_at	RRBP1	6238
732_201204_s_at	RRBP1	6238
733_201205_at	NA	NA
734_201206_s_at	RRBP1	6238
735_201207_at	TNFAIP1	7126
736_201208_s_at	TNFAIP1	7126
737_201209_at	HDAC1	3065
738_201210_at	DDX3X	1654
739_201211_s_at	DDX3X	1654
740_201212_at	LGMN	5641
741_201213_at	PPP1R7	5510
742_201214_s_at	PPP1R7	5510
743_201215_at	PLS3	5358
744_201216_at	ERP29	10961
745_201217_x_at	RPL3	6122
746_201218_at	CTBP2	1488
747_201219_at	NA	NA
748_201220_x_at	CTBP2	1488
749_201221_s_at	SNRNP70	6625
750_201222_s_at	RAD23B	5887
751_201223_s_at	RAD23B	5887
752_201224_s_at	SRRM1	10250
753_201225_s_at	SRRM1	10250
754_201226_at	NA	NA
755_201227_s_at	NDUFB8	4714
756_201228_s_at	ARIH2	10425
757_201229_s_at	ARIH2	10425
758_201230_s_at	ARIH2	10425
759_201231_s_at	ENO1	2023
760_201232_s_at	PSMD13	5719
761_201233_at	PSMD13	5719
762_201234_at	ILK	3611
763_201235_s_at	BTG2	7832
764_201236_s_at	BTG2	7832
765_201237_at	CAPZA2	830
766_201238_s_at	CAPZA2	830
767_201239_s_at	NA	NA
768_201240_s_at	NA	NA
769_201241_at	DDX1	1653
770_201242_s_at	ATP1B1	481
771_201243_s_at	ATP1B1	481
772_201244_s_at	RAF1	5894
773_201245_s_at	OTUB1	55611
774_201246_s_at	OTUB1	55611
775_201247_at	SREBF2	6721
776_201248_s_at	SREBF2	6721
777_201249_at	SLC2A1	6513
778_201250_s_at	SLC2A1	6513
779_201251_at	PKM2	5315
780_201252_at	PSMC4	5704
781_201253_s_at	CDIPT	10423
782_201254_x_at	RPS6	6194
783_201255_x_at	BAT3	7917
784_201256_at	COX7A2L	9167
785_201257_x_at	RPS3A	6189
786_201258_at	RPS16	6217
787_201259_s_at	SYPL1	6856
788_201260_s_at	SYPL1	6856
789_201261_x_at	BGN	633
790_201262_s_at	BGN	633
791_201263_at	TARS	6897
792_201264_at	COPE	11316
793_201265_at	NA	NA
794_201266_at	TXNRD1	7296
795_201267_s_at	PSMC3	5702
796_201268_at	NA	NA
797_201269_s_at	NUDCD3	23386
798_201270_x_at	NUDCD3	23386
799_201271_s_at	RALY	22913
800_201272_at	AKR1B1	231
